ReturnDate,TerritoryKey,ProductKey,ReturnQuantity,
1/18/2017,9,312,1,
1/18/2017,10,310,1,
1/21/2017,8,346,1,
1/22/2017,4,311,1,
2/2/2017,6,312,1,
2/15/2017,1,312,1,
2/19/2017,9,311,1,
2/24/2017,8,314,1,
3/8/2017,8,350,1,
3/13/2017,9,350,1,
3/14/2017,4,346,1,
3/15/2017,9,340,1,
3/22/2017,4,311,1,
3/26/2017,10,312,1,
3/28/2017,7,312,1,
3/28/2017,9,314,1,
3/29/2017,9,311,1,
4/1/2017,8,311,1,
4/7/2017,9,311,1,
4/7/2017,9,351,1,
4/9/2017,9,311,1,
4/10/2017,9,326,1,
4/15/2017,9,312,1,
4/16/2017,9,349,1,
4/20/2017,9,310,1,
4/21/2017,9,312,1,
4/25/2017,4,324,1,
4/27/2017,1,314,1,
4/29/2017,6,310,1,
4/29/2017,9,348,1,
4/30/2017,8,330,1,
5/1/2017,4,312,1,
5/6/2017,9,324,1,
5/7/2017,9,351,1,
5/13/2017,1,310,1,
5/14/2017,7,313,1,
5/16/2017,6,313,1,
5/16/2017,7,313,1,
5/22/2017,9,314,1,
5/24/2017,8,322,1,
5/30/2017,1,313,1,
5/30/2017,4,314,1,
6/5/2017,4,313,1,
6/7/2017,4,342,1,
6/20/2017,9,347,1,
6/24/2017,9,320,1,
7/3/2017,4,373,1,
7/11/2017,8,387,1,
7/22/2017,8,379,1,
8/14/2017,6,377,1,
8/15/2017,1,377,1,
8/15/2017,8,328,1,
8/26/2017,4,387,1,
8/28/2017,4,370,1,
8/31/2017,10,373,1,
9/3/2017,9,369,1,
9/10/2017,1,354,1,
10/3/2017,1,352,1,
10/7/2017,9,352,1,
10/8/2017,10,354,1,
10/12/2017,9,379,1,
10/13/2017,9,352,2,
10/23/2017,9,354,1,
10/25/2017,8,334,1,
10/27/2017,6,368,1,
10/28/2017,8,373,1,
10/30/2017,7,370,1,
11/16/2017,8,379,1,
11/20/2017,8,360,1,
11/23/2017,9,326,1,
11/24/2017,1,330,1,
11/27/2017,10,320,1,
12/1/2017,10,356,1,
12/4/2017,4,324,1,
12/5/2017,6,389,1,
12/6/2017,10,360,1,
12/10/2017,9,334,1,
12/11/2017,9,375,1,
12/12/2017,8,377,1,
12/12/2017,9,362,1,
12/12/2017,9,379,1,
12/14/2017,9,377,1,
12/16/2017,4,377,1,
12/18/2017,4,352,1,
12/25/2017,8,389,1,
1/7/2018,9,362,1,
1/9/2018,8,373,1,
1/10/2018,9,381,1,
1/16/2018,7,371,1,
1/23/2018,4,332,1,
1/23/2018,9,354,1,
1/26/2018,9,330,1,
1/31/2018,4,360,1,
2/1/2018,1,354,1,
2/12/2018,9,330,1,
2/14/2018,4,381,1,
2/20/2018,9,328,1,
2/20/2018,9,377,1,
2/22/2018,8,369,1,
2/22/2018,9,362,1,
2/25/2018,9,370,1,
3/8/2018,9,352,1,
3/12/2018,1,336,1,
3/18/2018,7,370,1,
3/20/2018,9,360,1,
3/21/2018,6,330,1,
3/24/2018,7,330,1,
3/29/2018,9,375,1,
3/31/2018,7,368,1,
4/1/2018,8,373,1,
4/4/2018,7,387,1,
4/13/2018,8,362,1,
4/25/2018,1,320,1,
4/27/2018,4,373,1,
5/1/2018,1,322,1,
5/1/2018,9,352,1,
5/3/2018,9,370,1,
5/11/2018,7,352,1,
5/16/2018,9,354,1,
5/21/2018,4,371,1,
5/23/2018,8,328,1,
5/26/2018,7,360,1,
5/27/2018,7,326,1,
5/31/2018,4,369,1,
6/10/2018,4,356,1,
6/12/2018,10,381,1,
6/13/2018,4,371,1,
6/15/2018,4,332,1,
6/19/2018,1,328,1,
6/21/2018,10,368,1,
6/25/2018,7,369,1,
6/27/2018,9,362,1,
7/2/2018,9,375,1,
7/3/2018,9,354,1,
7/3/2018,9,477,1,
7/3/2018,9,479,1,
7/4/2018,9,356,1,
7/6/2018,10,528,1,
7/7/2018,10,358,1,
7/8/2018,8,381,1,
7/8/2018,9,478,1,
7/8/2018,9,480,1,
7/8/2018,9,487,1,
7/8/2018,10,480,1,
7/9/2018,7,215,1,
7/11/2018,4,477,1,
7/11/2018,8,232,1,
7/12/2018,4,478,1,
7/12/2018,7,389,1,
7/13/2018,4,352,1,
7/13/2018,9,371,1,
7/13/2018,9,485,1,
7/14/2018,4,605,1,
7/15/2018,1,540,1,
7/15/2018,4,478,1,
7/15/2018,7,483,1,
7/15/2018,7,540,1,
7/15/2018,10,484,1,
7/16/2018,1,223,1,
7/19/2018,4,537,1,
7/22/2018,1,477,1,
7/23/2018,9,377,1,
7/23/2018,10,220,1,
7/24/2018,10,477,1,
7/25/2018,9,537,1,
7/26/2018,9,487,1,
7/26/2018,9,528,1,
7/28/2018,7,377,1,
7/28/2018,8,485,1,
7/29/2018,8,462,1,
7/29/2018,9,480,1,
7/29/2018,9,487,1,
7/29/2018,10,480,1,
7/30/2018,8,604,1,
7/31/2018,4,540,1,
7/31/2018,7,220,1,
7/31/2018,9,489,1,
8/1/2018,4,487,1,
8/1/2018,9,486,1,
8/2/2018,4,477,1,
8/2/2018,6,477,1,
8/2/2018,9,539,1,
8/3/2018,6,229,1,
8/3/2018,6,537,1,
8/3/2018,6,540,1,
8/4/2018,1,478,1,
8/5/2018,4,484,1,
8/5/2018,4,528,1,
8/5/2018,6,220,1,
8/6/2018,8,529,1,
8/7/2018,6,480,1,
8/7/2018,9,375,1,
8/7/2018,9,480,1,
8/7/2018,10,479,1,
8/7/2018,10,537,1,
8/8/2018,1,536,1,
8/8/2018,10,371,1,
8/9/2018,9,373,1,
8/9/2018,9,535,1,
8/9/2018,9,540,1,
8/10/2018,7,477,1,
8/10/2018,9,220,1,
8/11/2018,4,385,1,
8/11/2018,6,477,1,
8/11/2018,9,528,1,
8/12/2018,1,528,1,
8/12/2018,4,529,1,
8/12/2018,4,535,1,
8/12/2018,6,480,1,
8/12/2018,8,477,1,
8/12/2018,10,464,1,
8/12/2018,10,565,1,
8/13/2018,1,387,1,
8/13/2018,4,478,1,
8/13/2018,4,487,1,
8/13/2018,6,529,1,
8/13/2018,10,590,1,
8/14/2018,6,235,1,
8/14/2018,7,538,1,
8/14/2018,8,214,1,
8/14/2018,8,226,1,
8/14/2018,8,530,1,
8/14/2018,10,215,1,
8/15/2018,1,528,1,
8/15/2018,1,529,1,
8/15/2018,1,536,1,
8/15/2018,6,229,1,
8/15/2018,6,478,1,
8/15/2018,8,538,1,
8/15/2018,10,226,1,
8/16/2018,4,356,1,
8/16/2018,4,485,1,
8/16/2018,6,478,1,
8/17/2018,4,220,1,
8/17/2018,7,539,1,
8/17/2018,9,529,1,
8/18/2018,1,360,1,
8/18/2018,7,477,1,
8/18/2018,7,478,1,
8/19/2018,4,477,2,
8/19/2018,7,540,1,
8/19/2018,8,223,1,
8/20/2018,4,529,1,
8/20/2018,8,220,1,
8/20/2018,9,229,1,
8/20/2018,9,529,1,
8/20/2018,9,530,1,
8/21/2018,1,214,1,
8/21/2018,8,214,1,
8/22/2018,4,220,1,
8/23/2018,4,477,1,
8/23/2018,10,362,1,
8/24/2018,1,486,1,
8/24/2018,1,535,1,
8/24/2018,4,478,1,
8/24/2018,4,480,1,
8/24/2018,4,486,1,
8/24/2018,4,528,1,
8/24/2018,6,478,1,
8/24/2018,9,214,1,
8/24/2018,9,480,1,
8/24/2018,10,480,1,
8/25/2018,4,215,1,
8/25/2018,4,232,1,
8/25/2018,4,565,1,
8/25/2018,7,487,1,
8/25/2018,7,529,1,
8/25/2018,9,540,1,
8/26/2018,1,476,1,
8/26/2018,7,362,1,
8/26/2018,9,226,1,
8/26/2018,9,466,1,
8/27/2018,6,477,1,
8/27/2018,8,477,1,
8/28/2018,1,540,1,
8/28/2018,4,575,1,
8/28/2018,6,223,1,
8/28/2018,6,477,1,
8/29/2018,4,477,1,
8/29/2018,4,489,1,
8/29/2018,7,477,1,
8/29/2018,7,529,1,
8/30/2018,1,477,1,
8/30/2018,1,480,2,
8/30/2018,4,464,1,
8/30/2018,6,482,1,
8/30/2018,6,528,1,
8/30/2018,7,539,1,
8/30/2018,9,479,1,
8/30/2018,9,529,1,
8/30/2018,10,530,1,
8/31/2018,1,480,1,
8/31/2018,1,568,1,
8/31/2018,7,530,1,
8/31/2018,9,480,1,
9/1/2018,1,220,1,
9/1/2018,6,535,1,
9/2/2018,7,478,1,
9/2/2018,9,385,1,
9/3/2018,1,477,1,
9/3/2018,1,538,1,
9/3/2018,4,466,1,
9/3/2018,6,574,1,
9/3/2018,9,362,1,
9/3/2018,9,480,1,
9/3/2018,9,528,1,
9/3/2018,9,561,1,
9/4/2018,6,477,1,
9/4/2018,6,541,1,
9/4/2018,7,528,1,
9/4/2018,10,484,1,
9/5/2018,1,477,1,
9/5/2018,4,362,1,
9/5/2018,4,537,1,
9/5/2018,6,220,1,
9/5/2018,9,477,1,
9/5/2018,9,485,1,
9/6/2018,1,214,1,
9/6/2018,4,477,1,
9/6/2018,4,478,1,
9/6/2018,8,562,1,
9/6/2018,9,480,1,
9/6/2018,10,223,1,
9/7/2018,4,220,1,
9/7/2018,9,358,1,
9/8/2018,6,475,1,
9/8/2018,9,360,1,
9/8/2018,9,538,1,
9/9/2018,4,477,1,
9/9/2018,7,477,1,
9/9/2018,7,478,1,
9/9/2018,8,480,1,
9/10/2018,9,385,1,
9/10/2018,9,528,1,
9/10/2018,10,489,1,
9/10/2018,10,529,1,
9/11/2018,8,538,1,
9/11/2018,9,480,1,
9/11/2018,10,389,1,
9/12/2018,4,214,1,
9/12/2018,6,536,1,
9/13/2018,4,358,1,
9/13/2018,4,474,1,
9/13/2018,6,477,1,
9/13/2018,7,477,1,
9/13/2018,9,478,1,
9/13/2018,10,223,1,
9/14/2018,10,537,1,
9/14/2018,10,576,1,
9/15/2018,1,387,1,
9/15/2018,6,215,1,
9/15/2018,6,479,1,
9/15/2018,6,529,1,
9/15/2018,10,529,1,
9/15/2018,10,530,1,
9/16/2018,1,478,1,
9/16/2018,1,537,1,
9/16/2018,4,477,1,
9/16/2018,6,478,2,
9/16/2018,6,529,1,
9/17/2018,4,464,1,
9/17/2018,6,464,1,
9/17/2018,8,214,1,
9/18/2018,1,540,1,
9/18/2018,8,373,1,
9/18/2018,9,529,1,
9/19/2018,1,220,1,
9/19/2018,1,389,1,
9/19/2018,1,528,1,
9/19/2018,6,538,1,
9/19/2018,10,581,1,
9/20/2018,6,387,1,
9/20/2018,6,479,1,
9/20/2018,10,477,1,
9/20/2018,10,538,1,
9/21/2018,1,538,1,
9/21/2018,4,477,1,
9/21/2018,7,480,1,
9/21/2018,7,529,1,
9/22/2018,4,535,1,
9/23/2018,4,477,1,
9/23/2018,6,464,1,
9/23/2018,8,491,1,
9/23/2018,10,541,1,
9/23/2018,10,561,1,
9/24/2018,1,232,1,
9/24/2018,1,535,1,
9/24/2018,6,474,1,
9/24/2018,10,215,1,
9/25/2018,1,539,1,
9/25/2018,7,528,1,
9/26/2018,1,483,1,
9/26/2018,1,538,1,
9/26/2018,1,593,1,
9/26/2018,4,477,1,
9/26/2018,4,485,1,
9/26/2018,6,215,1,
9/26/2018,8,529,1,
9/26/2018,8,536,1,
9/26/2018,8,582,1,
9/26/2018,9,488,1,
9/27/2018,8,528,1,
9/27/2018,10,232,1,
9/28/2018,1,477,1,
9/28/2018,6,528,1,
9/28/2018,8,229,1,
9/28/2018,9,223,1,
9/29/2018,6,528,1,
9/29/2018,10,540,1,
9/30/2018,1,471,1,
9/30/2018,4,605,1,
9/30/2018,6,528,2,
9/30/2018,8,538,1,
9/30/2018,9,605,1,
9/30/2018,10,528,1,
10/1/2018,4,478,1,
10/1/2018,6,232,1,
10/1/2018,10,358,1,
10/1/2018,10,477,1,
10/1/2018,10,528,1,
10/2/2018,1,480,1,
10/2/2018,1,535,1,
10/2/2018,4,214,1,
10/2/2018,4,529,1,
10/2/2018,9,215,1,
10/2/2018,10,529,1,
10/3/2018,8,352,1,
10/4/2018,4,479,1,
10/4/2018,4,487,1,
10/4/2018,6,480,1,
10/4/2018,9,214,1,
10/5/2018,1,485,1,
10/5/2018,6,480,1,
10/5/2018,10,466,1,
10/6/2018,4,485,1,
10/6/2018,9,223,1,
10/6/2018,9,360,1,
10/6/2018,9,477,1,
10/6/2018,9,478,1,
10/6/2018,9,488,1,
10/7/2018,6,538,1,
10/7/2018,10,235,1,
10/8/2018,1,536,1,
10/8/2018,4,477,1,
10/8/2018,9,480,1,
10/8/2018,9,540,1,
10/9/2018,1,223,1,
10/9/2018,1,478,1,
10/9/2018,4,223,1,
10/9/2018,7,229,1,
10/9/2018,7,530,1,
10/9/2018,8,235,1,
10/9/2018,9,477,1,
10/9/2018,10,464,1,
10/9/2018,10,480,1,
10/9/2018,10,529,1,
10/10/2018,4,232,1,
10/10/2018,4,464,1,
10/10/2018,4,537,1,
10/10/2018,9,478,1,
10/10/2018,9,529,1,
10/10/2018,9,535,1,
10/10/2018,10,479,1,
10/10/2018,10,535,1,
10/11/2018,1,580,1,
10/11/2018,4,528,1,
10/11/2018,6,600,1,
10/11/2018,9,530,1,
10/12/2018,6,476,1,
10/12/2018,6,537,1,
10/12/2018,6,539,1,
10/12/2018,9,360,1,
10/12/2018,10,214,1,
10/12/2018,10,215,1,
10/13/2018,9,223,1,
10/13/2018,9,383,1,
10/13/2018,10,540,1,
10/14/2018,1,581,1,
10/14/2018,4,215,1,
10/14/2018,9,477,1,
10/15/2018,1,604,1,
10/15/2018,10,352,1,
10/16/2018,4,479,1,
10/16/2018,4,485,1,
10/16/2018,9,489,1,
10/16/2018,10,381,1,
10/17/2018,6,480,1,
10/17/2018,8,530,1,
10/17/2018,9,485,1,
10/17/2018,9,538,1,
10/18/2018,7,482,1,
10/19/2018,4,589,1,
10/19/2018,9,220,1,
10/19/2018,9,354,1,
10/20/2018,1,466,1,
10/20/2018,1,480,1,
10/20/2018,1,535,1,
10/20/2018,9,464,1,
10/20/2018,10,478,1,
10/21/2018,1,223,1,
10/21/2018,4,482,1,
10/21/2018,6,215,1,
10/21/2018,9,537,1,
10/21/2018,9,539,1,
10/22/2018,1,605,1,
10/22/2018,6,530,1,
10/22/2018,7,605,1,
10/22/2018,9,479,1,
10/22/2018,9,537,1,
10/23/2018,1,223,1,
10/23/2018,4,360,1,
10/23/2018,4,485,1,
10/24/2018,4,214,1,
10/24/2018,7,466,1,
10/24/2018,8,541,1,
10/25/2018,4,540,1,
10/25/2018,4,606,1,
10/25/2018,9,477,1,
10/25/2018,9,481,1,
10/25/2018,10,485,1,
10/26/2018,1,389,1,
10/26/2018,1,528,1,
10/26/2018,1,529,1,
10/26/2018,1,530,1,
10/26/2018,4,488,1,
10/26/2018,8,478,1,
10/26/2018,9,541,1,
10/27/2018,6,220,1,
10/27/2018,9,489,1,
10/28/2018,4,223,1,
10/28/2018,7,480,1,
10/28/2018,7,484,1,
10/28/2018,7,577,1,
10/28/2018,9,220,1,
10/28/2018,9,477,1,
10/28/2018,10,471,1,
10/29/2018,4,581,1,
10/29/2018,6,541,1,
10/29/2018,8,235,1,
10/29/2018,9,538,1,
10/29/2018,10,477,1,
10/30/2018,4,537,1,
10/30/2018,6,475,1,
10/30/2018,9,358,1,
10/30/2018,10,371,1,
10/31/2018,1,596,1,
10/31/2018,4,215,1,
10/31/2018,7,530,1,
10/31/2018,8,358,1,
10/31/2018,8,528,1,
10/31/2018,8,584,1,
10/31/2018,9,604,1,
11/1/2018,6,477,1,
11/1/2018,6,478,1,
11/1/2018,6,528,1,
11/1/2018,6,529,1,
11/2/2018,4,215,1,
11/2/2018,6,360,1,
11/2/2018,7,477,1,
11/2/2018,9,214,1,
11/2/2018,10,385,1,
11/3/2018,4,474,1,
11/3/2018,4,541,1,
11/3/2018,8,375,1,
11/3/2018,9,489,1,
11/4/2018,4,466,1,
11/4/2018,10,528,1,
11/5/2018,1,478,1,
11/5/2018,9,480,1,
11/5/2018,10,529,1,
11/6/2018,1,485,1,
11/6/2018,4,477,2,
11/7/2018,1,354,1,
11/7/2018,4,477,2,
11/7/2018,6,478,1,
11/7/2018,6,540,1,
11/7/2018,8,477,1,
11/7/2018,9,477,1,
11/7/2018,9,535,1,
11/7/2018,9,537,1,
11/7/2018,9,604,1,
11/8/2018,1,478,1,
11/8/2018,4,472,1,
11/8/2018,10,536,1,
11/9/2018,1,478,1,
11/9/2018,7,220,1,
11/9/2018,9,477,1,
11/9/2018,10,477,1,
11/10/2018,1,362,1,
11/10/2018,4,530,1,
11/10/2018,6,528,1,
11/10/2018,7,479,1,
11/10/2018,10,485,1,
11/11/2018,1,220,1,
11/12/2018,4,480,1,
11/12/2018,6,606,1,
11/12/2018,8,477,1,
11/12/2018,9,535,1,
11/12/2018,10,541,1,
11/13/2018,1,479,1,
11/13/2018,1,562,1,
11/13/2018,9,375,1,
11/14/2018,1,466,1,
11/14/2018,1,589,1,
11/14/2018,4,478,1,
11/14/2018,7,215,1,
11/14/2018,7,538,1,
11/14/2018,9,537,1,
11/14/2018,9,592,1,
11/14/2018,10,215,1,
11/14/2018,10,477,1,
11/15/2018,1,480,1,
11/15/2018,4,478,1,
11/15/2018,4,560,1,
11/16/2018,1,528,1,
11/16/2018,4,538,1,
11/17/2018,1,480,1,
11/17/2018,6,605,1,
11/17/2018,8,584,1,
11/17/2018,9,487,1,
11/17/2018,10,385,1,
11/18/2018,1,479,1,
11/18/2018,6,480,1,
11/18/2018,7,220,1,
11/18/2018,7,487,1,
11/18/2018,8,541,1,
11/18/2018,9,220,1,
11/18/2018,10,529,1,
11/18/2018,10,583,1,
11/18/2018,10,584,1,
11/19/2018,4,220,1,
11/19/2018,4,377,1,
11/19/2018,4,486,1,
11/19/2018,4,541,1,
11/19/2018,6,584,1,
11/19/2018,8,214,1,
11/19/2018,9,214,1,
11/19/2018,9,582,1,
11/20/2018,4,481,1,
11/20/2018,6,462,1,
11/20/2018,6,538,1,
11/20/2018,8,529,1,
11/20/2018,9,487,1,
11/21/2018,1,220,1,
11/21/2018,1,226,1,
11/21/2018,4,362,1,
11/21/2018,4,464,1,
11/22/2018,4,356,1,
11/22/2018,4,485,1,
11/22/2018,6,220,1,
11/22/2018,9,489,1,
11/22/2018,10,214,1,
11/23/2018,1,478,1,
11/23/2018,1,479,1,
11/23/2018,4,215,1,
11/23/2018,4,476,1,
11/23/2018,9,214,1,
11/24/2018,1,220,1,
11/24/2018,1,528,1,
11/24/2018,9,536,1,
11/24/2018,10,358,1,
11/24/2018,10,478,1,
11/25/2018,4,485,1,
11/25/2018,6,484,1,
11/25/2018,6,528,1,
11/26/2018,4,529,1,
11/26/2018,7,479,1,
11/26/2018,8,484,1,
11/27/2018,6,528,1,
11/27/2018,9,462,1,
11/28/2018,1,480,1,
11/28/2018,1,483,1,
11/28/2018,1,530,1,
11/28/2018,4,477,1,
11/28/2018,9,215,1,
11/28/2018,9,589,1,
11/28/2018,10,477,1,
11/28/2018,10,478,1,
11/29/2018,1,535,1,
11/29/2018,10,477,1,
11/29/2018,10,479,1,
11/30/2018,1,476,1,
11/30/2018,4,214,1,
11/30/2018,4,535,1,
11/30/2018,7,476,1,
11/30/2018,9,606,1,
12/1/2018,1,215,1,
12/1/2018,6,535,1,
12/1/2018,7,220,1,
12/1/2018,7,586,1,
12/1/2018,8,223,1,
12/1/2018,8,477,1,
12/1/2018,9,214,1,
12/1/2018,9,540,1,
12/2/2018,6,474,1,
12/3/2018,1,528,1,
12/3/2018,1,535,1,
12/3/2018,6,464,1,
12/3/2018,6,528,1,
12/3/2018,9,488,1,
12/3/2018,10,220,1,
12/4/2018,1,478,1,
12/4/2018,1,539,1,
12/4/2018,8,477,1,
12/4/2018,9,529,1,
12/5/2018,4,214,1,
12/5/2018,4,528,1,
12/5/2018,6,478,1,
12/5/2018,8,385,1,
12/5/2018,9,477,1,
12/5/2018,10,214,1,
12/5/2018,10,215,1,
12/6/2018,1,528,1,
12/6/2018,4,215,1,
12/6/2018,6,485,1,
12/6/2018,8,563,1,
12/7/2018,4,466,1,
12/7/2018,4,528,1,
12/7/2018,4,540,1,
12/7/2018,6,474,1,
12/7/2018,7,220,1,
12/7/2018,7,595,1,
12/7/2018,9,564,1,
12/7/2018,10,598,1,
12/8/2018,4,214,1,
12/8/2018,9,490,1,
12/8/2018,9,577,1,
12/8/2018,10,462,1,
12/9/2018,4,223,1,
12/9/2018,4,480,1,
12/9/2018,4,530,1,
12/9/2018,4,537,1,
12/9/2018,6,471,1,
12/9/2018,6,475,1,
12/9/2018,8,479,1,
12/9/2018,9,479,1,
12/9/2018,9,530,1,
12/10/2018,7,537,1,
12/10/2018,9,478,1,
12/11/2018,1,371,1,
12/11/2018,9,476,1,
12/11/2018,9,477,1,
12/12/2018,4,220,1,
12/12/2018,6,214,1,
12/12/2018,7,214,1,
12/12/2018,7,530,1,
12/12/2018,7,536,1,
12/12/2018,8,478,1,
12/12/2018,10,485,1,
12/13/2018,1,480,1,
12/13/2018,1,485,1,
12/13/2018,4,535,1,
12/13/2018,6,529,1,
12/13/2018,8,223,1,
12/13/2018,9,486,1,
12/13/2018,9,530,1,
12/14/2018,1,540,1,
12/14/2018,4,479,1,
12/14/2018,6,220,1,
12/15/2018,1,362,1,
12/15/2018,1,478,1,
12/15/2018,6,577,1,
12/15/2018,7,489,1,
12/15/2018,8,528,1,
12/15/2018,8,538,1,
12/15/2018,9,535,1,
12/15/2018,9,572,1,
12/15/2018,10,480,1,
12/16/2018,1,480,1,
12/16/2018,6,530,1,
12/16/2018,9,385,1,
12/16/2018,10,484,1,
12/17/2018,1,474,1,
12/17/2018,1,539,1,
12/17/2018,4,220,1,
12/17/2018,4,583,1,
12/17/2018,6,528,1,
12/17/2018,6,537,1,
12/17/2018,10,477,1,
12/18/2018,1,358,1,
12/18/2018,6,477,1,
12/19/2018,8,220,1,
12/19/2018,9,576,1,
12/19/2018,10,356,1,
12/20/2018,1,529,1,
12/20/2018,6,478,1,
12/20/2018,8,223,1,
12/20/2018,9,535,1,
12/20/2018,10,575,1,
12/21/2018,1,477,1,
12/21/2018,6,360,1,
12/21/2018,7,477,1,
12/21/2018,10,480,1,
12/22/2018,1,385,1,
12/23/2018,4,215,1,
12/23/2018,4,477,1,
12/23/2018,4,488,1,
12/23/2018,7,215,1,
12/23/2018,9,484,1,
12/24/2018,1,480,1,
12/24/2018,1,537,1,
12/24/2018,1,539,1,
12/24/2018,4,481,1,
12/24/2018,6,462,1,
12/24/2018,6,477,1,
12/24/2018,9,529,1,
12/24/2018,9,530,1,
12/25/2018,1,214,1,
12/25/2018,1,220,1,
12/25/2018,4,476,1,
12/25/2018,4,588,1,
12/25/2018,7,215,1,
12/25/2018,8,223,1,
12/25/2018,9,229,1,
12/25/2018,9,530,1,
12/25/2018,10,232,1,
12/26/2018,1,232,1,
12/26/2018,1,479,1,
12/26/2018,4,214,1,
12/26/2018,6,528,1,
12/26/2018,8,479,1,
12/26/2018,9,387,1,
12/26/2018,10,528,1,
12/27/2018,6,528,1,
12/27/2018,9,479,1,
12/27/2018,9,480,1,
12/28/2018,1,584,1,
12/28/2018,4,214,1,
12/28/2018,4,538,1,
12/28/2018,6,537,1,
12/28/2018,7,477,1,
12/28/2018,8,214,1,
12/28/2018,9,562,1,
12/28/2018,9,605,1,
12/29/2018,1,484,1,
12/29/2018,1,528,1,
12/30/2018,1,215,1,
12/30/2018,1,535,1,
12/30/2018,1,540,1,
12/30/2018,4,381,1,
12/30/2018,4,484,1,
12/30/2018,6,482,1,
12/30/2018,7,229,1,
12/31/2018,4,223,1,
12/31/2018,4,537,1,
12/31/2018,6,539,1,
12/31/2018,7,477,1,
12/31/2018,8,580,1,
12/31/2018,10,479,1,
1/1/2019,6,528,1,
1/1/2019,9,477,1,
1/1/2019,9,479,2,
1/1/2019,9,528,1,
1/1/2019,10,485,1,
1/2/2019,1,537,1,
1/2/2019,4,215,1,
1/2/2019,4,479,1,
1/2/2019,8,214,1,
1/2/2019,8,528,1,
1/2/2019,9,214,1,
1/2/2019,9,561,1,
1/3/2019,1,487,1,
1/3/2019,4,485,1,
1/3/2019,6,477,1,
1/3/2019,7,540,1,
1/3/2019,8,480,1,
1/3/2019,9,477,1,
1/4/2019,4,536,1,
1/4/2019,9,484,1,
1/5/2019,1,479,1,
1/5/2019,6,536,1,
1/5/2019,7,214,1,
1/5/2019,10,480,1,
1/6/2019,7,479,1,
1/6/2019,7,486,1,
1/6/2019,9,223,1,
1/6/2019,9,385,1,
1/7/2019,1,220,1,
1/7/2019,1,490,1,
1/7/2019,7,373,1,
1/8/2019,1,480,1,
1/8/2019,1,489,1,
1/8/2019,8,485,1,
1/8/2019,10,535,1,
1/9/2019,4,478,1,
1/9/2019,4,479,1,
1/9/2019,6,474,1,
1/9/2019,9,214,1,
1/10/2019,1,220,1,
1/10/2019,4,577,1,
1/10/2019,6,462,1,
